City,Code
Delhi,eyJjaXR5OjAiOiJ7XCJuYW1lXCI6XCJ1c2Vyc19sb2NhdGlvblwiLFwiYXJnc1wiOlwiMTAyMTYxOTEzMTU4MjA3XCJ9In0%3D
New Delhi,eyJjaXR5OjAiOiJ7XCJuYW1lXCI6XCJ1c2Vyc19sb2NhdGlvblwiLFwiYXJnc1wiOlwiMTA2NTE3Nzk5Mzg0NTc4XCJ9In0%3D
Gurugram,eyJjaXR5OjAiOiJ7XCJuYW1lXCI6XCJ1c2Vyc19sb2NhdGlvblwiLFwiYXJnc1wiOlwiMTc1NDU0MDMxODEzOTM1OVwifSJ9
Ghaziabad,eyJjaXR5OjAiOiJ7XCJuYW1lXCI6XCJ1c2Vyc19sb2NhdGlvblwiLFwiYXJnc1wiOlwiMTEyMzY5Mjc4NzgwMDkyXCJ9In0%3D
Dwarka,eyJjaXR5OjAiOiJ7XCJuYW1lXCI6XCJ1c2Vyc19sb2NhdGlvblwiLFwiYXJnc1wiOlwiMTA0MDQwNjc5NjMyMzgzXCJ9In0%3D
Fridabad,eyJjaXR5OjAiOiJ7XCJuYW1lXCI6XCJ1c2Vyc19sb2NhdGlvblwiLFwiYXJnc1wiOlwiMTAzOTc3OTM2MzA1MTM3XCJ9In0%3D
Sonipat,eyJjaXR5OjAiOiJ7XCJuYW1lXCI6XCJ1c2Vyc19sb2NhdGlvblwiLFwiYXJnc1wiOlwiMTA4MDY2MDEyNTQ4NzYzXCJ9In0%3D
Burari,eyJjaXR5OjAiOiJ7XCJuYW1lXCI6XCJ1c2Vyc19sb2NhdGlvblwiLFwiYXJnc1wiOlwiMTA1NjI0NTQyODA1NzIwXCJ9In0%3D
jafrabad,eyJjaXR5OjAiOiJ7XCJuYW1lXCI6XCJ1c2Vyc19sb2NhdGlvblwiLFwiYXJnc1wiOlwiMTA5MzUzMDc5MDg0MjExXCJ9In0%3D
"Badarpur, Haryana, India",eyJjaXR5OjAiOiJ7XCJuYW1lXCI6XCJ1c2Vyc19sb2NhdGlvblwiLFwiYXJnc1wiOlwiMTA5MTMzODcyNDQwODQ4XCJ9In0%3D
bahadurgarh,eyJjaXR5OjAiOiJ7XCJuYW1lXCI6XCJ1c2Vyc19sb2NhdGlvblwiLFwiYXJnc1wiOlwiMTA4MzAyNTM1ODY0MTg0XCJ9In0%3D
Greater Noida,eyJjaXR5OjAiOiJ7XCJuYW1lXCI6XCJ1c2Vyc19sb2NhdGlvblwiLFwiYXJnc1wiOlwiMTEyMTg3MTgyMTI3Nzk0XCJ9In0%3D
Mumbai,eyJjaXR5OjAiOiJ7XCJuYW1lXCI6XCJ1c2Vyc19sb2NhdGlvblwiLFwiYXJnc1wiOlwiMTE0NzU5NzYxODczNDEyXCJ9In0%3D
Kolkata,eyJjaXR5OjAiOiJ7XCJuYW1lXCI6XCJ1c2Vyc19sb2NhdGlvblwiLFwiYXJnc1wiOlwiMTA4MjEyMjI1ODczNDA0XCJ9In0%3D
Banglore,eyJjaXR5OjAiOiJ7XCJuYW1lXCI6XCJ1c2Vyc19sb2NhdGlvblwiLFwiYXJnc1wiOlwiMTA2Mzc3MzM2MDY3NjM4XCJ9In0%3D
Hyderabad,eyJjaXR5OjAiOiJ7XCJuYW1lXCI6XCJ1c2Vyc19sb2NhdGlvblwiLFwiYXJnc1wiOlwiMTEyNjIxNzQ1NDE1NzA4XCJ9In0%3D
Pune,eyJjaXR5OjAiOiJ7XCJuYW1lXCI6XCJ1c2Vyc19sb2NhdGlvblwiLFwiYXJnc1wiOlwiMTA2NDQyNzA2MDYwMzAyXCJ9In0%3D
surat,eyJjaXR5OjAiOiJ7XCJuYW1lXCI6XCJ1c2Vyc19sb2NhdGlvblwiLFwiYXJnc1wiOlwiMTE0NjY5ODY4NTUwNTczXCJ9In0%3D
Luknow,eyJjaXR5OjAiOiJ7XCJuYW1lXCI6XCJ1c2Vyc19sb2NhdGlvblwiLFwiYXJnc1wiOlwiMTEwMzYyMDcyMzI0NTEwXCJ9In0%3D
Jaipur,eyJjaXR5OjAiOiJ7XCJuYW1lXCI6XCJ1c2Vyc19sb2NhdGlvblwiLFwiYXJnc1wiOlwiMTA2MzA2ODEyNzM5Njk0XCJ9In0%3D
"Kanpur, Uttar Pradesh",eyJjaXR5OjAiOiJ7XCJuYW1lXCI6XCJ1c2Vyc19sb2NhdGlvblwiLFwiYXJnc1wiOlwiMTAyMTQzNTc2NDkzOTM5XCJ9In0%3D
Mirzapur,eyJjaXR5OjAiOiJ7XCJuYW1lXCI6XCJ1c2Vyc19sb2NhdGlvblwiLFwiYXJnc1wiOlwiMTA4MjI2ODcyNTMxNjEzXCJ9In0%3D
Nagpur,eyJjaXR5OjAiOiJ7XCJuYW1lXCI6XCJ1c2Vyc19sb2NhdGlvblwiLFwiYXJnc1wiOlwiMTA3NTY3MTEyNjAwMTM1XCJ9In0%3D
Indore,eyJjaXR5OjAiOiJ7XCJuYW1lXCI6XCJ1c2Vyc19sb2NhdGlvblwiLFwiYXJnc1wiOlwiMTEyMDI3NzI4ODIzNzYyXCJ9In0%3D
Patna,eyJjaXR5OjAiOiJ7XCJuYW1lXCI6XCJ1c2Vyc19sb2NhdGlvblwiLFwiYXJnc1wiOlwiMTA5MDY4MjgyNDU0NDI3XCJ9In0%3D
Noida,eyJjaXR5OjAiOiJ7XCJuYW1lXCI6XCJ1c2Vyc19sb2NhdGlvblwiLFwiYXJnc1wiOlwiMTE0MzM2MzI4NTc2ODc2XCJ9In0%3D
Meerut,eyJjaXR5OjAiOiJ7XCJuYW1lXCI6XCJ1c2Vyc19sb2NhdGlvblwiLFwiYXJnc1wiOlwiMTA5NDEyMDM1NzUxODYxXCJ9In0%3D
Jalandhar,eyJjaXR5OjAiOiJ7XCJuYW1lXCI6XCJ1c2Vyc19sb2NhdGlvblwiLFwiYXJnc1wiOlwiMTEwNDI2NTY4OTc4NTg0XCJ9In0%3D
Rishikesh,eyJjaXR5OjAiOiJ7XCJuYW1lXCI6XCJ1c2Vyc19sb2NhdGlvblwiLFwiYXJnc1wiOlwiMTA4Njg4NTg5MTU1OTQ4XCJ9In0%3D
